name,genericName,image,manufacturer,composition,dosage,description,sideEffects,storageInstructions,prescriptionRequired,price,discountPrice,stock,categoryId,brandId,minStockAlertThreshold
"Crocin Pain Relief","Paracetamol","https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=600","GSK","Paracetamol IP 650mg","1 tablet twice a day","Effective pain relief and fever reduction.","Nausea, liver damage in high doses","Store in a cool dry place",false,15.50,14.00,100,1,1,10
"Brufen 400","Ibuprofen","https://images.unsplash.com/photo-1550572017-edd951b55104?auto=format&fit=crop&q=80&w=600","Abbott","Ibuprofen IP 400mg","1 tablet after food","Used to reduce fever and treat pain or inflammation.","Upset stomach, mild heartburn","Store below 25°C",false,22.00,20.00,80,1,2,15
"Amoxil 500mg","Amoxicillin","https://images.unsplash.com/photo-1587854692152-cbe660dbde88?auto=format&fit=crop&q=80&w=600","Sun Pharma","Amoxicillin Trihydrate IP 500mg","1 capsule three times a day","Penicillin antibiotic used to treat bacterial infections.","Nausea, vomiting, diarrhea","Store in a cool dry place away from sunlight",true,45.00,42.00,200,2,1,20
"Benadryl Cough Syrup","Diphenhydramine","https://images.unsplash.com/photo-1471864190281-a93a3070b6de?auto=format&fit=crop&q=80&w=600","Johnson & Johnson","Diphenhydramine Hydrochloride 14mg","2 teaspoons every 4-6 hours","Relief from cough and cold symptoms.","Drowsiness, dry mouth","Keep bottle tightly closed",false,85.00,80.00,30,3,2,10
"Zithromax 500","Azithromycin","https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?auto=format&fit=crop&q=80&w=600","Pfizer","Azithromycin Dihydrate IP 500mg","1 tablet daily for 3-5 days","Macrolide antibiotic for respiratory infections.","Stomach upset, diarrhea","Store below 30°C",true,120.00,110.00,60,2,3,10
"Zyrtec 10mg","Cetirizine","https://images.unsplash.com/photo-1550572017-edd951b55104?auto=format&fit=crop&q=80&w=600","Dr. Reddy's","Cetirizine Hydrochloride IP 10mg","1 tablet daily at night","Antihistamine used to relieve allergy symptoms.","Mild drowsiness, fatigue","Store in a dry place",false,18.00,16.50,150,1,2,20
"Glycomet 500","Metformin","https://images.unsplash.com/photo-1587854692152-cbe660dbde88?auto=format&fit=crop&q=80&w=600","USV Ltd","Metformin Hydrochloride IP 500mg","1 tablet with meals","Controls high blood sugar in type 2 diabetes.","Nausea, stomach upset","Store away from moisture",true,35.00,33.00,180,4,1,20
"Amlokind 5mg","Amlodipine","https://images.unsplash.com/photo-1576671081837-49000212a370?auto=format&fit=crop&q=80&w=600","Mankind Pharma","Amlodipine Besylate IP 5mg","1 tablet daily","Calcium channel blocker for high blood pressure.","Swelling in ankles, dizziness","Store below 30°C",true,42.00,38.00,90,4,3,15
"Lipitor 10mg","Atorvastatin","https://images.unsplash.com/photo-1550572017-edd951b55104?auto=format&fit=crop&q=80&w=600","Pfizer","Atorvastatin Calcium IP 10mg","1 tablet daily at bedtime","Statin used to lower cholesterol levels.","Muscle pain, mild nausea","Store in original container",true,95.00,90.00,75,4,1,10
"Pan 40","Pantoprazole","https://images.unsplash.com/photo-1471864190281-a93a3070b6de?auto=format&fit=crop&q=80&w=600","Alkem Labs","Pantoprazole Sodium IP 40mg","1 tablet before breakfast","Proton pump inhibitor for acid reflux.","Headache, mild diarrhea","Store below 25°C",true,55.00,50.00,110,5,3,25
